Meses,Promedio,ene--21,feb--21,mar--21,abr--21,may--21,jun--21,jul--21,ago--21,sep--21,oct--21,nov--21,dic--21,ene--22,feb--22,mar--22,abr--22,may--22,jun--22,jul--22,ago--22,sep--22,oct--22,nov--22,dic--22,ene--23,feb--23,mar--23,abr--23,may--23,jun--23,jul--23,ago--23,sep--23,oct--23,nov--23,dic--23,ene--24,feb--24,mar--24,abr--24,may--24,jun--24,jul--24,ago--24,sep--24,oct--24,Nov--24
m-1,0.00000,0,0.016782531,0,0,0.000498005,0.000890938,0.001086965,0,0,0.006746648,0.004054831,0.014048287,0.004432078,0.005100323,0.009165327,0.005402614,0.000676305,0.003439693,0.001098297,0,0.035456181,0,0,0.002173166,0.05185342,0.005893212,0,0,0.002853198,0.006163571,0.002885417,0.011869459,0.000498947,0.003457321,0.004078154,0.018993183,0.003073333,0.020666492,0.006629201,0.007837127,0.000844296,0.005281286,0.008607649,0.009065493,0.004936374,0.005088628,0.009330377
m-2,0.01659,0.01638529,0.018052951,0,0.008470818,0.000653032,0.004980328,0.009227309,0.01548582,0,0.01225323,0.008012594,0.015851275,0.026583737,0.047550038,0.015022411,0.03943499,0.011388854,0.010508812,0.021199181,0.00693739,0.081573466,0.04866765,0.009260781,0.029949049,0.130024405,0.025010823,0,0.023676292,0.010747441,0.013142891,0.065495352,0.022927453,0.001924301,0.034649537,0.008768031,0.042671649,0.034444674,0.132755261,0.035894057,0.019771223,0.034985735,0.047530352,0.050933131,0.02624413,0.067409555,0.055142865,
m-3,0.00980,0.025344498,0.051951859,0.001397898,0.008470818,0.003894868,0.035509507,0.027596395,0.018645655,0,0.017162808,0.014789173,0.064126589,0.054203116,0.099044794,0.034064682,0.08071944,0.033899277,0.030232557,0.049929525,0.01702814,0.091063094,0.04866765,0.016639289,0.031040647,0.140447203,0.068086404,0,0.063892074,0.025825735,0.038824125,0.081725821,0.034002474,0.009007327,0.048951693,0.058333769,0.06729634,0.066339612,0.202451987,0.046176535,0.051339609,0.094698467,0.060291508,0.144637287,0.081063972,0.125023439,,
m-4,0.01086,0.0258236,0.085607151,0.009533355,0.014249361,0.004352402,0.039197151,0.035274306,0.068823973,0.019667469,0.034110672,0.026659721,0.104070765,0.089947853,0.13377006,0.064576666,0.095747145,0.035669692,0.051289248,0.121355489,0.062431037,0.121271589,0.04866765,0.061005526,0.032132245,0.150870001,0.154715514,0,0.116806686,0.073559637,0.085647303,0.089540492,0.042123995,0.019973283,0.071586432,0.06769925,0.096182292,0.124641664,0.222156219,0.09132028,0.102436464,0.129435614,0.110775614,0.176064883,0.15176703,,,
m-5,0.01427,0.0258236,0.100693383,0.020138644,0.014249361,0.020051204,0.040850097,0.060086664,0.075556173,0.042562975,0.058803893,0.040355343,0.148803438,0.124807577,0.169337105,0.081895929,0.104467614,0.037139527,0.086124347,0.147452518,0.094483738,0.17332402,0.052690374,0.075161728,0.034059677,0.161292799,0.231066306,0,0.151109345,0.130040757,0.09879717,0.152587629,0.069378378,0.032164684,0.126639247,0.104061749,0.154434608,0.146112764,0.299113986,0.116417924,0.163376375,0.186721024,0.151405144,0.263994495,,,,
m-6,0.01541,0.051357758,0.100693383,0.028973127,0.028524988,0.028988382,0.041125588,0.075872021,0.082288373,0.042562975,0.074261518,0.058011729,0.167278277,0.173149999,0.190562549,0.097746056,0.128020488,0.05165603,0.11604045,0.204428828,0.112188583,0.20457451,0.056713098,0.082239072,0.11618461,0.173800156,0.251929439,0,0.160956446,0.13250729,0.14983608,0.209112939,0.080155189,0.051005962,0.155484597,0.158191979,0.167685935,0.193066753,0.311177037,0.160353596,0.192048113,0.219238279,0.183273591,,,,,
m-7,0.01715,0.051357758,0.100693383,0.036261092,0.055853424,0.029331361,0.054250134,0.077432631,0.090121469,0.042562975,0.075557647,0.074101073,0.186613972,0.20738465,0.233932599,0.115922231,0.148955617,0.066182139,0.119284829,0.235183014,0.127082529,0.238774658,0.056713098,0.093838389,0.137094074,0.220702747,0.272570918,0,0.160956446,0.171037286,0.160627436,0.22359773,0.152634781,0.075107492,0.191180955,0.180297079,0.194895733,0.248404927,0.344082022,0.182519921,0.257912332,0.274248083,,,,,,
m-8,0.02717,0.079918204,0.14172191,0.049889781,0.065912015,0.039244919,0.057602861,0.089116144,0.175629431,0.042562975,0.130056922,0.104770978,0.201318847,0.235369064,0.25194995,0.1371949,0.158821186,0.069939387,0.137154048,0.26251141,0.130879174,0.244735337,0.104147722,0.131338051,0.153608465,0.254976805,0.279220522,0,0.212607862,0.192041262,0.179656348,0.273785947,0.203112952,0.091146908,0.210952808,0.188223991,0.226801354,0.266537465,0.369907255,0.307500662,0.318002719,,,,,,,
m-9,0.03865,0.079918204,0.14172191,0.055321925,0.069082859,0.04020526,0.059591355,0.109963142,0.182361631,0.077635515,0.130803178,0.125880503,0.249311595,0.26039417,0.288387037,0.15216714,0.236812571,0.069939387,0.157801521,0.300979863,0.161282147,0.254800566,0.115039249,0.141652904,0.188412559,0.267484163,0.282683857,0,0.242906059,0.202721554,0.201653647,0.325600849,0.22536274,0.113732841,0.259612672,0.20800488,0.232000313,0.292179029,0.386583686,0.310490632,,,,,,,,
m-10,0.04596,0.079918204,0.150203404,0.068890631,0.070431493,0.048498414,0.063252356,0.12123935,0.182361631,0.110878414,0.130803178,0.137359356,0.298471785,0.302405273,0.325920416,0.219899998,0.252595776,0.077375715,0.171299907,0.316079383,0.207550757,0.269437595,0.149403371,0.167475524,0.203825322,0.284855496,0.303186803,0,0.268260199,0.230598643,0.220497208,0.389981709,0.228451789,0.146326033,0.277095209,0.224156409,0.250147642,0.317368056,0.434327219,,,,,,,,,
m-11,0.04685,0.079918204,0.153337948,0.075468745,0.072554977,0.049458755,0.067916978,0.125423475,0.189093831,0.110878414,0.13158871,0.188519042,0.303952645,0.331192594,0.334010603,0.248088035,0.276972213,0.080384387,0.197867258,0.330116712,0.228980986,0.307337487,0.185859974,0.172122829,0.203825322,0.30018615,0.310113474,0,0.298285652,0.256817527,0.242841759,0.439520786,0.234862762,0.187134902,0.298936525,0.246412988,0.315128949,0.356123207,,,,,,,,,,
m-12,0.05348,0.079918204,0.156887543,0.086796989,0.089839977,0.05518464,0.074517469,0.136486603,0.206208388,0.110878414,0.165700527,0.218889567,0.30984391,0.342671808,0.351728962,0.274923828,0.288651918,0.089457389,0.219126092,0.348799189,0.26195691,0.337401186,0.322605782,0.172122829,0.23965806,0.315820347,0.31681295,0,0.386271348,0.297775697,0.287691829,0.512463424,0.25846247,0.228809164,0.33376502,0.290253145,0.33252775,,,,,,,,,,,
m-13,0.04892,0.079918204,0.156887543,0.094263577,0.096566497,0.06388327,0.083809854,0.143487002,0.223375497,0.110878414,0.19569871,0.231683332,0.333744767,0.345636878,0.368250613,0.295104995,0.308758926,0.101385899,0.238602826,0.367110368,0.278903746,0.381529512,0.322605782,0.181910646,0.262777879,0.331454544,0.336069095,0,0.480558274,0.31941662,0.313451214,0.552678919,0.263041785,0.264807376,0.34818756,0.306769669,,,,,,,,,,,,
m-14,0.05370,0.079918204,0.159594403,0.109702866,0.098229832,0.075487798,0.089548675,0.146762172,0.228424647,0.146930023,0.1990765,0.242234892,0.337812643,0.358131555,0.397242026,0.305506707,0.338429921,0.122635023,0.265755771,0.373017612,0.296010341,0.381529512,0.359648369,0.204741852,0.265891024,0.341877342,0.370203729,0,0.511457379,0.336220207,0.340868409,0.556826705,0.284971967,0.304554054,0.37787401,,,,,,,,,,,,,
m-15,0.06700,0.14135199,0.166812696,0.111908637,0.099916116,0.081570269,0.100873838,0.153228088,0.231790747,0.167540231,0.204842308,0.25967494,0.352386801,0.368104626,0.412544267,0.323799417,0.37764358,0.138891931,0.303696968,0.396021912,0.296010341,0.405103124,0.363838707,0.210855473,0.323208633,0.347088741,0.395026091,0,0.518914479,0.363484705,0.35488251,0.572988317,0.309633675,0.311704898,,,,,,,,,,,,,,
m-16,0.08022,0.14135199,0.168617269,0.114499054,0.103796933,0.098201973,0.116905245,0.1692174,0.235156846,0.171896331,0.21505423,0.27136259,0.387584145,0.37735594,0.450078759,0.345733578,0.380798515,0.147063194,0.326137873,0.396021912,0.331910705,0.432272567,0.393171071,0.232207972,0.324880299,0.362722938,0.420202284,0,0.533597509,0.378974277,0.369126828,0.593546911,0.318048535,,,,,,,,,,,,,,,
m-17,0.09481,0.14135199,0.171986408,0.117200232,0.106515178,0.101415138,0.122011748,0.182130114,0.236839896,0.181128664,0.223891471,0.29455963,0.398597401,0.40562053,0.471404463,0.367385573,0.392733552,0.149202207,0.326137873,0.451276183,0.344817711,0.440041617,0.397361409,0.266029454,0.332786111,0.406176625,0.421088898,0,0.545866302,0.399869113,0.384703904,0.621995316,,,,,,,,,,,,,,,,
m-18,0.11041,0.14135199,0.21349324,0.144350024,0.116751036,0.104309399,0.12921033,0.188488505,0.236839896,0.20410872,0.236568001,0.312373779,0.419884164,0.41826568,0.50097757,0.394421895,0.428056947,0.149202207,0.34148367,0.471893351,0.368338238,0.454439405,0.429002677,0.314384282,0.339148095,0.406176625,0.428154438,0,0.564912459,0.414426517,0.394914474,,,,,,,,,,,,,,,,,
m-19,0.12098,0.14135199,0.239744517,0.146698076,0.134633589,0.109330129,0.139518351,0.191146496,0.240412015,0.224497872,0.245405241,0.368453291,0.45720002,0.43113762,0.51446752,0.405363854,0.428056947,0.155464788,0.346540189,0.483938652,0.385597435,0.524044504,0.449149821,0.320163493,0.361696856,0.406176625,0.429318119,0,0.575829653,0.445438581,,,,,,,,,,,,,,,,,,
m-20,0.13413,0.14135199,0.244557314,0.146719727,0.142370584,0.110921071,0.141350091,0.193023322,0.243778115,0.224497872,0.268971216,0.377513843,0.48081797,0.451310012,0.521752558,0.405363854,0.445410798,0.161669516,0.367465278,0.501566323,0.404454522,0.551699619,0.449149821,0.343539812,0.367186608,0.406176625,0.450459302,0,0.583428438,,,,,,,,,,,,,,,,,,,
m-21,0.14900,0.14135199,0.247764943,0.163977758,0.144859297,0.119267334,0.14705011,0.209663235,0.260273842,0.224497872,0.291670516,0.401311108,0.486940769,0.457903494,0.521752558,0.432248793,0.453432009,0.176234863,0.39048738,0.536968545,0.428387798,0.57795583,0.453340159,0.363988821,0.372342027,0.406176625,0.451290502,0,,,,,,,,,,,,,,,,,,,,
m-22,0.16929,0.14135199,0.252723008,0.163977758,0.152634064,0.122182655,0.158956621,0.215654222,0.262966721,0.245953293,0.292652431,0.439389964,0.496187246,0.457903494,0.535210009,0.44527758,0.459278872,0.191780077,0.405880857,0.564211266,0.435879255,0.583989388,0.48366376,0.372541867,0.378018104,0.406176625,0.456328081,,,,,,,,,,,,,,,,,,,,,
m-23,0.18175,0.14135199,0.256125531,0.163977758,0.153921103,0.141339941,0.163239956,0.232879559,0.268352481,0.245953293,0.293634347,0.483095466,0.496187246,0.471328957,0.540047054,0.453394025,0.471587521,0.192531527,0.414151999,0.579867546,0.43934795,0.585047249,0.488524552,0.380805361,0.380164523,0.461417454,,,,,,,,,,,,,,,,,,,,,,
m-24,0.19542,0.14135199,0.285980997,0.165524276,0.159303137,0.14305607,0.173706989,0.239631161,0.280268474,0.245953293,0.303158928,0.483095466,0.500385355,0.483412308,0.547721499,0.479367505,0.486643385,0.206416812,0.423064159,0.59903145,0.449635936,0.596913951,0.489296077,0.391044924,0.381976609,,,,,,,,,,,,,,,,,,,,,,,
m-25,0.20757,0.14135199,0.285980997,0.171894424,0.159867858,0.153575828,0.178391611,0.240949939,0.282961354,0.245953293,0.303158928,0.50141621,0.512518117,0.492633522,0.567530677,0.490831578,0.490513724,0.214295299,0.432481765,0.619155266,0.467055344,0.608528823,0.499051183,0.40645443,,,,,,,,,,,,,,,,,,,,,,,,
m-26,0.21767,0.14135199,0.320022196,0.171894424,0.164125122,0.160058128,0.189198548,0.25342227,0.293829548,0.245953293,0.316587606,0.511439111,0.517836789,0.506801501,0.582818972,0.499645645,0.499179869,0.222561244,0.446438576,0.625976649,0.485787311,0.611609063,0.500056865,,,,,,,,,,,,,,,,,,,,,,,,,
m-27,0.23374,0.14135199,0.320022196,0.190339649,0.182725235,0.17081566,0.193660739,0.263321478,0.293829548,0.245953293,0.325161693,0.529813294,0.547521068,0.532939965,0.595764664,0.51868236,0.50893591,0.240719271,0.46408161,0.636712605,0.486417983,0.630899583,,,,,,,,,,,,,,,,,,,,,,,,,,
m-28,0.24147,0.14135199,0.323551941,0.190339649,0.18978425,0.177812429,0.201745086,0.263321478,0.299147986,0.249854279,0.325868672,0.551993042,0.56314697,0.550575803,0.636388466,0.527702283,0.5399187,0.250256465,0.469959025,0.644178277,0.491656343,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-29,0.25750,0.14135199,0.32491417,0.200005929,0.190736397,0.185165216,0.201745086,0.282018375,0.300494426,0.253755264,0.338240809,0.567202516,0.60844719,0.566531256,0.642762035,0.539757211,0.556598546,0.256418351,0.492296595,0.647511608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-30,0.26580,0.14135199,0.325338021,0.200005929,0.192092384,0.185165216,0.203721459,0.284714773,0.306300948,0.25765625,0.350200541,0.58619856,0.668863441,0.572690901,0.648659498,0.557331142,0.568190615,0.270695893,0.501471379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-31,0.27892,0.14135199,0.329510195,0.211625403,0.192092384,0.18651656,0.209083872,0.299023907,0.309052145,0.283012657,0.380364988,0.603096953,0.670365932,0.584694602,0.65086738,0.564371158,0.579648576,0.270695893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-32,0.29101,0.14135199,0.336231284,0.211625403,0.197059961,0.190272185,0.212384255,0.30409641,0.309052145,0.297277261,0.400578123,0.607970318,0.672769917,0.594635363,0.664249468,0.577822456,0.606799387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-33,0.29629,0.142501834,0.336231284,0.211625403,0.201162726,0.191150217,0.215139166,0.315784905,0.309382164,0.307483468,0.400578123,0.61332436,0.67930575,0.604173706,0.66774048,0.584156609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-34,0.28124,0.142501834,0.355134189,0.211625403,0.207584236,0.21322732,0.22020251,0.331618067,0.337079161,0.307483468,0.420412818,0.627540799,0.693044099,0.6124801,0.674210233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-35,0.29442,0.143651679,0.356162789,0.21525972,0.211526994,0.22506695,0.224799906,0.34221406,0.337079161,0.307483468,0.434061445,0.634424432,0.708891393,0.623929605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-36,0.30034,0.144801524,0.356428061,0.21823986,0.212117981,0.228462441,0.236799324,0.356500401,0.348422917,0.314635275,0.437277876,0.648549133,0.709762837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-37,0.30148,0.144801524,0.35658664,0.223652672,0.231625533,0.238093953,0.240124502,0.360659853,0.411705593,0.327460861,0.482599172,0.652435224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-38,0.31689,0.144801524,0.370987134,0.223652672,0.235626037,0.248539532,0.242526784,0.361384497,0.411705593,0.336238079,0.482599172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-39,0.33022,0.154383598,0.371288584,0.241882292,0.249436098,0.254865914,0.249476873,0.367520977,0.415071693,0.336238079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-40,0.34315,0.168626055,0.37137753,0.252421811,0.256329921,0.25749615,0.263289007,0.37259348,0.415071693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-41,0.35022,0.189092995,0.374986677,0.252421811,0.257068786,0.261219701,0.268165199,0.375570314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-42,0.36055,0.189092995,0.375307891,0.252421811,0.262532616,0.265908222,0.274079509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-43,0.37517,0.189092995,0.390065691,0.258791307,0.269860859,0.27316291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-44,0.38155,0.189092995,0.397433523,0.262812254,0.270090687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-45,0.38979,0.189092995,0.398194829,0.262812254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-46,0.40360,0.199441599,0.398956136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-47,0.40116,0.199441599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
